,KOR,AUS,GBR,ESP,JPN,CAN,USA,MEX,DEU,ITA,CHE,SWE,FRA
2008-03-01,-2.2886295134511907,-1.329457412385878,-0.47568782748903987,-0.15680315291687386,-1.436463524880496,-1.1115567503814665,-0.6408770844888783,-2.609278571755415,-1.3918090370187093,-0.5702419001287766,-0.7911677413031154,-1.0580489951542025,-0.43334166757056364
2008-06-01,-2.3076756005042864,-1.3120510649068995,-0.49836353550403373,-0.17927193143597098,-1.44800792744685,-1.0811983684599502,-0.7765383432406183,-1.2288261977876034,-1.0955531283380924,-0.6448910913372532,-0.8306387463174012,-1.2272945777174549,-0.4008971505960587
2008-09-01,-2.4148796910783847,-1.414584990806386,-0.9020284587031018,-0.3448115049653089,-1.4011235021727795,-1.1249591918278112,-0.8386842591645147,-1.7659513624803267,-1.08592570832288,-0.7686343311273169,-0.9850782396723322,-1.1884388809900588,-0.5664727617022239
2008-12-01,-2.4402026671189483,-1.517561588055693,-1.0221985913972442,-0.43881277730749013,-1.3562169360378056,-1.1668720738819776,-0.8413637861142901,-2.017204004238223,-1.0870495719739193,-0.5326661689329742,-1.0471222605220916,-1.278827501544812,-0.6357429437958083
2009-03-01,-2.602474072508546,-1.7459148108982117,-1.5368087249497566,-0.6289483821498818,-1.289127579580421,-1.1452944793097952,-0.7972025750157242,-2.3712690716514166,-0.8176035133892572,-1.1184996294072007,-1.2150410775071405,-2.0124540218397984,-0.6067654444742063
2009-06-01,-2.5931548136164064,-1.7989735007192245,-1.301938265869854,-0.7916760217380101,-1.3674540592161004,-1.107582101340453,-1.002774208131248,-2.178040131785022,-1.1447391738860755,-0.6482961643591508,-1.200814795192235,-1.9127229160092334,-0.7075464178656087
2009-09-01,-2.643215099852299,-2.003514347082219,-1.4710096261922379,-0.975325769515889,-1.2900621365356815,-1.367236207993192,-0.9574341536711853,-2.4900240789972425,-1.0957146213921924,-0.7720656186331067,-1.3152675124562097,-2.034670812729428,-0.6349784168521223
2009-12-01,-3.36233036792946,-2.596319720149952,-3.8072976515979295,-1.144891061365231,-1.0314511848596208,-1.7053820038331449,-1.164366615612151,-4.568788579815015,-0.8489254956974239,-0.9006753927878699,-1.7328006845813555,-3.3422590470354594,-0.8188152597322036
2010-03-01,-1.7153956728809532,-2.239502917280376,-2.92697977600631,-1.1003637205632337,-1.1311905716862978,-1.5467229707510821,-1.3214715153752945,-4.2093955977501345,-1.2008588704408028,-0.8170035600846037,-1.4935420618092117,-1.7120485111139514,-0.7608505708344316
2010-06-01,-2.0804661894749406,-1.781610736479299,-1.4899849696419871,-1.0933715590797302,-1.4801463613309376,-1.0882521289071,-0.9068327693085153,-2.2932624899760983,-0.9228305524985584,-0.8046704697847248,-1.1923712912120548,-2.0170076599531894,-0.6434537878047106
